"loan_amnt","term","int_rate","emp_length","home_ownership","annual_inc","verification_status","issue_d","purpose","addr_state","dti","delinq_2yrs","revol_util","total_acc","bad_loan","credit_length"
5000," 36 months",11.97,1,"OWN",51320,"not verified",1.207008e+12,"debt_consolidation","CA",22.73,0,70.3,11,0,10
18000," 60 months",13.49,10,"RENT",72000,"verified",1317427200000,"debt_consolidation","PA",19.1,0,74.8,13,0,16
11975," 60 months",15.21,3,"MORTGAGE",64584,"verified",1285891200000,"debt_consolidation","MD",19.81,0,61.1,17,0,8
15000," 60 months",17.56,10,"MORTGAGE",75000,"verified",1275350400000,"debt_consolidation","CO",13.02,0,48,39,0,12
21000," 60 months",21.22,10,"MORTGAGE",193000,"verified",1.301616e+12,"moving","VA",22.23,0,85.8,48,0,19
10000," 60 months",11.86,5,"RENT",78000,"verified",1277942400000,"major_purchase","NY",4.72,0,12.6,31,0,17
10000," 36 months",14.74,10,"OTHER",125004,"verified",1.241136e+12,"debt_consolidation","RI",9.34,1,39.8,35,0,16
5000," 36 months",11.48,1,"RENT",24000,"not verified",1259625600000,"wedding","OH",11,0,59.4,9,0,7
20000," 60 months",11.71,7,"MORTGAGE",210000,"verified",1317427200000,"debt_consolidation","OH",8.68,0,52.6,31,0,21
10750," 60 months",15.2,2,"RENT",36000,"verified",1288569600000,"debt_consolidation","CA",24.03,0,20.3,23,1,14
10475," 36 months",17.03,1,"RENT",46000,"not verified",1.207008e+12,"credit_card","CA",23.22,0,68,29,0,8
4800," 36 months",14.54,5,"RENT",33000,"verified",1.301616e+12,"debt_consolidation","CA",17.27,0,77.7,8,0,16
5000," 60 months",18.3,4,"RENT",72000,"verified",1285891200000,"home_improvement","CA",2.33,0,30.6,8,0,4
10000," 36 months",13.49,5,"RENT",60000,"not verified",1322697600000,"credit_card","IL",17.18,0,86.6,17,1,28
4000," 60 months",16.02,4,"MORTGAGE",54000,"not verified",1296518400000,"debt_consolidation","AZ",13.33,0,55.4,29,0,8
3300," 36 months",7.88,10,"MORTGAGE",67000,"verified",1275350400000,"major_purchase","NM",19,0,41.6,42,0,18
28000," 60 months",10.65,5,"RENT",64936,"verified",1322697600000,"debt_consolidation","CA",8.91,0,62.1,22,0,28
11800," 60 months",15.95,1,"RENT",33600,"verified",1275350400000,"debt_consolidation","CA",13.96,0,62.5,15,0,7
14950," 36 months",6.62,3,"RENT",165000,"verified",1320105600000,"debt_consolidation","NY",7.57,0,56.8,12,0,10
7725," 36 months",13.75,0,"RENT",62200,"not verified",1191196800000,"debt_consolidation","NY",9.8,0,81,13,1,8
10000," 36 months",7.29,2,"RENT",75000,"verified",1.29384e+12,"home_improvement","CA",0.72,0,2.1,8,0,7
25500," 60 months",11.99,5,"RENT",79000,"verified",1312156800000,"debt_consolidation","VA",20.69,0,35.4,23,0,17
17600," 60 months",20.85,10,"MORTGAGE",4e+05,"verified",1.301616e+12,"debt_consolidation","TX",8.77,0,92.7,27,0,24
7500," 36 months",10.99,6,"RENT",25000,"not verified",1309478400000,"credit_card","FL",20.4,1,67.3,25,0,37
8800," 60 months",13.61,5,"RENT",92400,"verified",1277942400000,"car","GA",20.14,0,24.3,29,0,24
4800," 36 months",12.99,4,"MORTGAGE",128000,"not verified",1312156800000,"moving","NC",7.84,0,58.8,22,0,16
10000," 36 months",13.22,2,"RENT",32000,"not verified",1249084800000,"home_improvement","NY",3.6,0,0.04,15,0,5
8000," 36 months",12.99,10,"RENT",48000,"not verified",1312156800000,"debt_consolidation","LA",14.82,0,50.7,23,0,11
34475," 60 months",14.27,10,"RENT",73000,"verified",1317427200000,"other","MN",29.56,0,18.3,46,0,16
11200," 36 months",13.99,7,"RENT",105000,"not verified",1312156800000,"car","AZ",13.5,0,74.8,29,1,8
20000," 36 months",15.65,2,"RENT",57500,"verified",1259625600000,"debt_consolidation","GA",4.88,0,87.9,10,0,8
8000," 36 months",7.74,0,"RENT",30000,"not verified",1257033600000,"debt_consolidation","NH",12.52,0,14.4,21,0,11
3100," 36 months",6.76,3,"MORTGAGE",41800,"not verified",1.27008e+12,"major_purchase","AZ",12.06,0,17.2,30,0,12
10000," 36 months",7.49,5,"RENT",58216,"verified",1306886400000,"debt_consolidation","AZ",14.49,0,84.3,26,0,15
11300," 36 months",9.91,0,"MORTGAGE",31000,"verified",1314835200000,"credit_card","TX",16.03,0,63.7,22,0,11
14400," 36 months",12.23,4,"MORTGAGE",99996,"verified",1288569600000,"major_purchase","NY",3.71,0,75,25,0,9
5000," 36 months",7.68,1,"MORTGAGE",40308,"not verified",1.230768e+12,"car","TX",5.78,0,7.2,19,0,13
15000," 36 months",6.03,5,"MORTGAGE",90000,"verified",1317427200000,"credit_card","CA",5.01,0,27.9,19,0,20
12000," 60 months",11.49,1,"RENT",40000,"verified",1314835200000,"debt_consolidation","CA",12.48,0,34.7,18,1,19
16250," 36 months",10.99,3,"MORTGAGE",77940,"not verified",1.27008e+12,"major_purchase","GA",11.45,0,37.6,22,0,11
17050," 36 months",14.27,7,"MORTGAGE",40800,"verified",1322697600000,"credit_card","CT",20.38,0,91,14,0,16
6025," 36 months",10.65,6,"RENT",48000,"not verified",1317427200000,"debt_consolidation","OH",16.48,0,68.9,18,0,9
10000," 36 months",13.79,1,"RENT",55000,"verified",1233446400000,"wedding","NJ",19.83,0,29,11,0,5
10750," 36 months",6.99,10,"MORTGAGE",1e+05,"not verified",1309478400000,"debt_consolidation","IL",21.53,0,17.8,23,0,14
12000," 36 months",6.03,4,"RENT",75000,"not verified",1320105600000,"debt_consolidation","MN",11.68,0,22.2,26,0,6
12000," 36 months",12.53,2,"MORTGAGE",141000,"verified",1251763200000,"credit_card","MA",5.59,0,16.5,42,0,14
1750," 36 months",9.99,5,"RENT",9840,"not verified",1306886400000,"debt_consolidation","WV",22.56,0,87.7,6,0,24
12000," 36 months",12.22,0,"RENT",60000,"not verified",1217548800000,"educational","NJ",18.08,0,37,25,0,9
2000," 36 months",11.12,NA,"OWN",11520,"not verified",1275350400000,"debt_consolidation","CO",5.31,0,29.4,5,0,4
30000," 60 months",17.99,5,"MORTGAGE",74500,"verified",1309478400000,"debt_consolidation","LA",19.09,0,69.2,32,0,15
12000," 36 months",12.98,2,"RENT",75000,"verified",1288569600000,"debt_consolidation","NY",16.64,0,87.6,14,0,8
8000," 60 months",11.12,3,"RENT",38790,"verified",1283299200000,"debt_consolidation","VT",14.42,0,43.9,19,0,6
12000," 60 months",13.49,0,"RENT",34560,"verified",1314835200000,"debt_consolidation","OR",7.12,0,68.2,10,1,16
1500," 36 months",5.79,3,"RENT",35000,"not verified",1.301616e+12,"debt_consolidation","OH",27.39,0,2.2,50,0,25
3850," 60 months",10.75,0,"RENT",20796,"verified",1285891200000,"other","NJ",12.12,0,37,26,1,6
16800," 36 months",13.49,10,"RENT",66000,"not verified",1306886400000,"other","IL",14.53,0,82.4,31,0,11
9600," 36 months",7.9,9,"RENT",54000,"verified",1322697600000,"small_business","TX",6.8,0,62.8,8,0,10
18000," 60 months",9.99,5,"MORTGAGE",70000,"not verified",1291161600000,"debt_consolidation","OH",13.2,1,35.3,30,0,12
12000," 36 months",6.54,3,"MORTGAGE",56000,"verified",1291161600000,"vacation","NV",12.04,0,12.8,31,0,9
5150," 36 months",12.41,6,"MORTGAGE",105000,"not verified",1222819200000,"medical","CA",20.29,0,31.2,51,0,15
7200," 36 months",8.9,3,"RENT",80000,"not verified",1320105600000,"credit_card","NY",3.54,0,66.8,7,0,5
15000," 36 months",11.71,10,"RENT",33800,"not verified",1320105600000,"other","NY",9.73,0,66.7,6,0,10
3250," 36 months",14.35,4,"RENT",10200,"verified",1285891200000,"debt_consolidation","NJ",14.82,0,67.4,9,1,3
9000," 36 months",10.59,10,"RENT",83000,"not verified",1306886400000,"debt_consolidation","CA",16.02,0,75.7,38,0,17
15250," 60 months",15.21,6,"MORTGAGE",104149.2,"verified",1280620800000,"debt_consolidation","CA",16.78,0,76.1,43,0,26
9600," 36 months",10.25,2,"RENT",68000,"not verified",1.27008e+12,"house","OH",15.14,1,17.9,17,1,17
35000," 36 months",16.49,3,"MORTGAGE",177632,"verified",1306886400000,"small_business","TX",16.92,0,82.4,40,0,14
10000," 36 months",9.99,2,"RENT",53500,"verified",1.29384e+12,"wedding","NY",1.53,0,28.4,4,0,4
3000," 36 months",7.68,4,"RENT",42996,"verified",1243814400000,"major_purchase","PA",3.77,0,0.3,12,0,13
35000," 60 months",15.23,10,"MORTGAGE",150000,"verified",1312156800000,"debt_consolidation","CA",6.65,0,32.3,38,0,23
10000," 36 months",9.99,1,"RENT",65000,"verified",1312156800000,"small_business","NY",1.61,0,18.2,8,0,14
10850," 36 months",10.99,5,"RENT",38400,"not verified",1.272672e+12,"debt_consolidation","NY",22.91,0,91.8,27,0,10
5000," 60 months",13.49,4,"MORTGAGE",50004,"not verified",1312156800000,"other","KS",3.62,0,32.5,13,0,8
4000," 36 months",14.27,5,"MORTGAGE",75000,"verified",1320105600000,"car","TX",1.84,1,88.5,17,0,18
8800," 36 months",11.58,9,"MORTGAGE",102300,"verified",1.241136e+12,"educational","NY",10.71,0,73.3,44,0,13
25000," 60 months",16.45,10,"RENT",49600,"verified",1283299200000,"debt_consolidation","NM",9.48,0,91.1,7,1,16
2500," 36 months",11.86,10,"OWN",18720,"not verified",1277942400000,"other","VA",9.49,0,90.5,9,0,17
5500," 36 months",12.73,0,"RENT",40440,"not verified",1264982400000,"debt_consolidation","CA",22.91,0,72.1,20,0,8
7000," 36 months",11.59,4,"RENT",64008,"verified",1214870400000,"car","NY",10.63,0,24.2,21,1,9
1400," 36 months",10.36,10,"MORTGAGE",50000,"not verified",1291161600000,"medical","WY",14.76,0,92.7,18,0,23
12375," 60 months",15.65,1,"MORTGAGE",75000,"verified",1.301616e+12,"debt_consolidation","MN",22.53,0,95.5,30,0,15
15000," 60 months",14.46,9,"RENT",109000,"verified",1288569600000,"debt_consolidation","CA",5.21,0,74,16,0,10
21000," 60 months",11.99,3,"MORTGAGE",65000,"verified",1.304208e+12,"home_improvement","MA",9.03,0,47,29,0,10
6000," 36 months",13.49,0,"RENT",45000,"verified",1314835200000,"debt_consolidation","OK",23.68,0,76.4,16,1,13
6000," 36 months",8.9,5,"RENT",24000,"verified",1322697600000,"credit_card","FL",11.55,0,88.7,9,0,11
25000," 36 months",10.59,8,"MORTGAGE",75000,"verified",1309478400000,"debt_consolidation","NY",26.98,0,22.3,23,0,21
10000," 36 months",7.51,4,"RENT",58608,"verified",1.27008e+12,"home_improvement","WA",0.94,0,6.5,24,0,11
23075," 60 months",14.79,4,"MORTGAGE",130000,"verified",1312156800000,"debt_consolidation","CO",5.04,0,65.7,14,0,12
16000," 60 months",17.51,10,"RENT",55000,"verified",1.301616e+12,"debt_consolidation","CA",18.63,0,75,16,0,10
13250," 36 months",17.27,10,"RENT",52000,"verified",1322697600000,"debt_consolidation","NY",23.7,0,91.5,18,0,13
12000," 36 months",9.99,1,"MORTGAGE",33600,"not verified",1288569600000,"debt_consolidation","MD",17.75,0,75.3,11,1,5
11325," 36 months",12.69,7,"RENT",36000,"verified",1314835200000,"debt_consolidation","NJ",24.8,0,72.2,11,0,18
12000," 36 months",8.49,8,"RENT",33000,"verified",1312156800000,"debt_consolidation","CA",12.55,0,34.3,8,0,7
18000," 36 months",15.33,3,"RENT",71000,"verified",1264982400000,"debt_consolidation","NY",15.75,0,95,15,1,12
14500," 36 months",7.66,10,"MORTGAGE",64000,"verified",1298937600000,"debt_consolidation","FL",19.05,0,34.3,45,0,14
4000," 36 months",11.54,0,"RENT",50952,"not verified",1196467200000,"other","FL",9.14,0,92.6,9,0,10
20000," 60 months",18.39,10,"MORTGAGE",117000,"verified",1314835200000,"debt_consolidation","GA",21.24,0,93.1,20,0,21
3000," 36 months",14.35,10,"MORTGAGE",67675,"verified",1283299200000,"medical","MT",13.65,1,59.9,14,0,9
4800," 36 months",10.99,5,"MORTGAGE",95000,"verified",1314835200000,"home_improvement","DE",20.97,0,15.3,20,0,12
8000," 60 months",17.19,8,"OWN",79800,"not verified",1.272672e+12,"debt_consolidation","CA",19.1,0,60.1,27,0,11
25000," 36 months",16,5,"MORTGAGE",120000,"verified",1257033600000,"small_business","CA",20.15,0,35,22,0,22
12000," 36 months",5.42,2,"RENT",36000,"verified",1306886400000,"major_purchase","FL",11.77,0,14.8,12,1,7
3175," 36 months",16.08,6,"RENT",36000,"not verified",1204329600000,"debt_consolidation","MO",26.03,0,103.9,4,0,7
3000," 36 months",5.99,0,"MORTGAGE",112000,"verified",1.304208e+12,"major_purchase","MA",14.29,1,7.2,31,0,15
10000," 36 months",7.51,5,"RENT",80004,"not verified",1.272672e+12,"debt_consolidation","CO",5.77,0,35.3,27,0,13
10400," 60 months",10.99,7,"OWN",42000,"verified",1306886400000,"debt_consolidation","CA",13.51,0,18.7,15,0,8
10000," 36 months",16.49,6,"MORTGAGE",48200,"verified",1.304208e+12,"debt_consolidation","FL",4.95,0,69.2,24,1,15
25000," 36 months",15.57,4,"OWN",70000,"verified",1.29384e+12,"debt_consolidation","NY",16.73,0,55.2,42,0,36
6300," 36 months",11.49,10,"MORTGAGE",63000,"verified",1277942400000,"major_purchase","GA",10.48,1,5.3,33,0,21
7200," 36 months",11.99,0,"RENT",28800,"not verified",1.304208e+12,"debt_consolidation","MO",17.58,0,80.7,13,1,8
9000," 36 months",14.11,3,"MORTGAGE",50004,"verified",1.241136e+12,"debt_consolidation","CA",8.21,0,86.8,14,1,10
6000," 36 months",5.79,10,"MORTGAGE",1e+05,"verified",1298937600000,"home_improvement","NY",8.38,0,3.6,29,0,14
9000," 36 months",10,3,"RENT",74000,"verified",1.29384e+12,"debt_consolidation","CA",13.61,0,57.2,17,0,12
2000," 36 months",12.84,4,"RENT",15000,"not verified",1.238544e+12,"car","NJ",15.28,0,18.6,15,0,4
7300," 36 months",11.71,4,"RENT",50000,"verified",1322697600000,"other","NY",12.79,0,37.3,22,0,10
17600," 60 months",18.25,3,"MORTGAGE",75000,"verified",1.304208e+12,"small_business","AR",15.47,0,50.4,43,1,12
12000," 36 months",7.51,2,"RENT",40000,"not verified",1275350400000,"debt_consolidation","CA",9.09,0,38.5,24,0,8
8000," 36 months",6.99,10,"MORTGAGE",1e+05,"verified",1309478400000,"debt_consolidation","LA",8.2,0,38.2,17,0,36
8000," 36 months",7.9,10,"MORTGAGE",67200,"not verified",1320105600000,"home_improvement","PA",4.54,0,36,22,0,13
4800," 36 months",12.42,5,"MORTGAGE",69600,"not verified",1317427200000,"home_improvement","GA",15.36,0,80.9,22,1,11
